utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
03:02:11,37.7,0.19,dwm#1,7.93,vmmemWSL,2.37,docker,0.28
03:02:21,33.1,0.23,dwm#1,8.14,L-Connect-Service,0.32,node#1,0.23
03:02:32,28.4,0.55,dwm#1,8.11,L-Connect-Service,0.23,WmiPrvSE#1,0.23
03:02:42,41.2,0.36,dwm#1,7.99,vmmemWSL,1.82,WmiPrvSE#1,0.27
03:02:53,29.8,0.55,dwm#1,8.08,L-Connect-Service,0.68,WmiPrvSE#1,0.22
03:03:04,45.9,0.51,dwm#1,8.05,vmmemWSL,2.79,com.docker.backend#1,1.11
03:03:14,38.9,0.68,dwm#1,8.04,Docker Desktop#4,0.87,L-Connect-Service,0.59
03:03:25,29.8,0.45,dwm#1,8.19,WmiPrvSE#1,0.27,svchost#76,0.27
03:03:35,32.5,0.6,dwm#1,8.13,L-Connect-Service,0.32,vmmemWSL,0.28
03:03:46,31.1,0.09,dwm#1,7.96,svchost#76,0.28,vmmemWSL,0.28
03:03:56,41.5,3.19,dwm#1,8.06,claude#2,0.51,WmiPrvSE#1,0.23
03:04:07,34.5,1.05,dwm#1,8.08,L-Connect-Service,0.48,System,0.26
03:04:18,42.1,3.88,dwm#1,8.25,WmiPrvSE#1,0.27,MsMpEng,0.18
03:04:28,37.6,1.61,dwm#1,8.09,WmiPrvSE#1,0.23,svchost#14,0.18
03:04:39,29.4,0.14,dwm#1,8.04,L-Connect-Service,0.57,WmiPrvSE#1,0.23
03:04:50,29.9,0.77,dwm#1,8.1,WmiPrvSE#1,0.22,dwm,0.13
03:05:00,32.6,0.26,dwm#1,7.89,L-Connect-Service,0.44,vmmemWSL,0.26
03:05:11,39.6,0.18,dwm#1,7.99,vmmemWSL,1.69,WmiPrvSE#1,0.27
03:05:21,30.9,0.77,dwm#1,8.36,WmiPrvSE#1,0.27,svchost#68,0.13
03:05:32,31.1,0.14,dwm#1,8.27,vmmemWSL,0.42,L-Connect-Service,0.23
03:05:43,45.2,0.36,dwm#1,8.22,vmmemWSL,2.4,com.docker.backend#1,1.04
03:05:53,32.8,0.55,dwm#1,7.79,L-Connect-Service,0.69,WmiPrvSE#1,0.27
03:06:04,38.6,0.32,dwm#1,8.08,vmmemWSL,0.6,WmiPrvSE#1,0.27
03:06:14,33.3,0.63,dwm#1,8.31,Docker Desktop#4,0.68,vmmemWSL,0.36
03:06:25,31.3,0.46,dwm#1,8.16,WmiPrvSE#1,0.27,vmmemWSL,0.18
03:06:35,29,0.18,dwm#1,8.13,svchost#76,0.32,WmiPrvSE#1,0.23
03:06:46,46,5.31,dwm#1,7.9,L-Connect-Service,0.62,WmiPrvSE#1,0.26
03:06:57,38.2,2.05,dwm#1,8.16,vmmemWSL,0.71,WmiPrvSE#1,0.31
03:07:07,41.2,3.21,dwm#1,8.07,L-Connect-Service,0.41,WmiPrvSE#1,0.27
03:07:18,38.3,3.45,dwm#1,8.2,WmiPrvSE#1,0.26,System,0.26
03:07:29,28.7,0.36,dwm#1,8.08,WmiPrvSE#1,0.22,vmmemWSL,0.13
03:07:39,34.1,0.7,dwm#1,8.18,L-Connect-Service,0.47,System,0.37
03:07:50,31.5,0.36,dwm#1,8.06,WmiPrvSE#1,0.23,vmmemWSL,0.23
03:08:00,31,0.18,dwm#1,7.95,L-Connect-Service,0.54,WmiPrvSE#1,0.27
03:08:11,42.9,0.37,dwm#1,8.22,vmmemWSL,3.73,com.docker.backend#1,0.33
03:08:21,28.3,0.41,dwm#1,8.16,L-Connect-Service,0.27,vmmemWSL,0.27
03:08:32,29.4,0.42,dwm#1,8.15,WmiPrvSE#1,0.23,vmmemWSL,0.18
03:08:43,33.8,0.31,dwm#1,8.34,vmmemWSL,1.36,WmiPrvSE#1,0.22
03:08:53,32.1,0.6,dwm#1,8.15,L-Connect-Service,0.74,vmmemWSL,0.37
03:09:04,39.7,0.6,dwm#1,7.66,vmmemWSL,1.66,WmiPrvSE#1,0.23
03:09:14,36.7,0.4,dwm#1,7.96,Docker Desktop#4,0.85,L-Connect-Service,0.58
03:09:25,30.8,0.37,dwm#1,7.92,nvcontainer#3,0.99,sunshine,0.28
03:09:35,56.5,5.64,dwm#1,7.74,claude#2,0.71,MsMpEng,0.49
