utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
03:41:46,31.6,1.14,dwm#1,8.07,Docker Desktop#4,0.62,docker,0.28
03:41:56,42.2,1.02,dwm#1,8.03,L-Connect-Service,0.74,EpicGamesLauncher,0.42
03:42:07,35.5,1.26,dwm#1,7.72,vmmemWSL,0.65,WmiPrvSE#1,0.18
03:42:17,32.8,1.11,dwm#1,7.85,L-Connect-Service,0.46,WmiPrvSE#1,0.18
03:42:28,35.4,2.32,dwm#1,7.81,WmiPrvSE#1,0.22,vmmemWSL,0.17
03:42:39,32.1,1.57,dwm#1,8,svchost#76,0.28,WmiPrvSE#1,0.19
03:42:49,35.6,1.31,dwm#1,7.9,vmmemWSL,0.86,L-Connect-Service,0.27
03:43:00,31.2,1.19,dwm#1,8.12,WmiPrvSE#1,0.27,svchost#43,0.18
03:43:10,37.2,1.22,dwm#1,8.32,L-Connect-Service,0.42,WmiPrvSE#1,0.28
03:43:21,30.1,1.24,dwm#1,8.06,WmiPrvSE#1,0.24,WmiPrvSE,0.14
03:43:31,34.7,1.05,dwm#1,8.07,L-Connect-Service,0.81,vmmemWSL,0.33
03:43:42,41.7,4.56,dwm#1,7.98,WmiPrvSE#1,0.19,WmiPrvSE,0.14
03:43:52,86.2,18.51,dwm#1,5.69,L-Connect-Service,0.51,SearchIndexer,0.32
03:44:03,61.1,10.64,dwm#1,7.49,WmiPrvSE#1,0.26,WmiPrvSE,0.13
03:44:14,32,1.19,dwm#1,8,WmiPrvSE#1,0.23,vmmemWSL,0.19
03:44:24,38.2,0.04,dwm#1,8.22,vmmemWSL,2.74,L-Connect-Service,0.51
03:44:35,28.4,0.23,dwm#1,7.95,WmiPrvSE#1,0.23,vmmemWSL,0.18
03:44:45,43.3,0.23,dwm#1,8.01,vmmemWSL,2.06,L-Connect-Service,0.56
03:44:56,26.6,0.09,dwm#1,8.31,Docker Desktop#4,0.42,WmiPrvSE#1,0.23
03:45:07,30.5,0.04,dwm#1,8.03,L-Connect-Service,0.55,WmiPrvSE#1,0.22
03:45:17,28.7,0.33,dwm#1,8.32,WmiPrvSE#1,0.23,vmmemWSL,0.19
03:45:28,29.5,0.22,dwm#1,8.13,WmiPrvSE#1,0.22,claude#2,0.22
03:45:38,28.6,0.09,dwm#1,7.9,WmiPrvSE#1,0.23,L-Connect-Service,0.18
03:45:49,31.5,0.19,dwm#1,8.09,vmmemWSL,0.19,WmiPrvSE#1,0.19
03:45:59,30.5,0.36,dwm#1,7.96,L-Connect-Service,0.18,WmiPrvSE#1,0.18
03:46:10,29,0.45,dwm#1,8.09,vmmemWSL,0.41,WmiPrvSE#1,0.22
03:46:20,28.1,0.32,dwm#1,8.12,L-Connect-Service,0.74,WmiPrvSE#1,0.23
03:46:31,30.6,0.88,dwm#1,7.88,WmiPrvSE#1,0.18,svchost#14,0.04
03:46:41,32.7,0.7,dwm#1,7.96,L-Connect-Service,0.56,claude#2,0.28
03:46:52,30.2,0.73,dwm#1,8.03,WmiPrvSE#1,0.22,vmmemWSL,0.18
03:47:03,39.3,1.01,dwm#1,8.09,vmmemWSL,1.42,L-Connect-Service,0.41
03:47:13,39.2,0.61,dwm#1,8,WmiPrvSE#1,0.28,claude,0.23
03:47:24,31,1.19,dwm#1,8.14,WmiPrvSE#1,0.23,L-Connect-Service,0.13
03:47:34,36.1,1.39,dwm#1,7.76,vmmemWSL,0.46,L-Connect-Service,0.23
03:47:45,33.8,1.13,dwm#1,8.24,WmiPrvSE#1,0.28,System,0.14
03:47:55,33.7,1.12,dwm#1,8.23,vmmemWSL,0.89,L-Connect-Service,0.47
03:48:06,31.4,1.15,dwm#1,8.14,Docker Desktop#4,0.36,WmiPrvSE#1,0.23
03:48:17,33.9,1.05,dwm#1,8.03,L-Connect-Service,0.5,vmmemWSL,0.32
03:48:27,32,1.09,dwm#1,7.98,WmiPrvSE#1,0.23,vmmemWSL,0.14
03:48:38,32.1,1.09,dwm#1,8,L-Connect-Service,0.28,WmiPrvSE#1,0.23
03:48:48,29,1.06,dwm#1,8.07,WmiPrvSE#1,0.23,claude#1,0.09
03:48:59,34.1,1.19,dwm#1,8.22,vmmemWSL,0.47,WmiPrvSE#1,0.23
03:49:09,33.2,1.15,dwm#1,7.89,L-Connect-Service,0.23,WmiPrvSE#1,0.18
03:49:20,40.3,3.89,dwm#1,8.07,WmiPrvSE#1,0.23,L-Connect-Service,0.14
03:49:30,35.6,1.73,dwm#1,7.89,L-Connect-Service,0.61,WmiPrvSE#1,0.23
03:49:41,31.5,1.24,dwm#1,7.77,WmiPrvSE#1,0.27,MsMpEng,0.22
03:49:52,85.2,18.63,dwm#1,7.03,L-Connect-Service,0.35,WmiPrvSE#1,0.22
03:50:02,26.9,0.23,dwm#1,8.23,L-Connect-Service,0.32,WmiPrvSE#1,0.23
03:50:13,43.3,0.23,dwm#1,7.93,vmmemWSL,0.88,node#1,0.51
03:50:23,33.7,2.05,dwm#1,8.01,L-Connect-Service,0.47,WmiPrvSE#1,0.23
03:50:34,27,0.09,dwm#1,8.05,WmiPrvSE#1,0.23,RazerCortex,0.09
03:50:45,39.6,0.09,dwm#1,8.17,vmmemWSL,2.27,L-Connect-Service,0.65
03:50:55,28.8,0.64,dwm#1,8.11,vmmemWSL,0.32,WmiPrvSE#1,0.23
03:51:06,35.5,0.42,dwm#1,7.94,vmmemWSL,1.59,L-Connect-Service,0.28
03:51:16,32.8,0.41,dwm#1,8.07,Docker Desktop#4,0.78,WmiPrvSE#1,0.23
03:51:27,29,0.28,dwm#1,8.2,L-Connect-Service,0.28,WmiPrvSE#1,0.23
03:51:37,31.2,0.47,dwm#1,8.02,vmmemWSL,0.28,node#1,0.28
03:51:48,28.8,0.38,dwm#1,8.02,WmiPrvSE#1,0.23,svchost#76,0.23
03:51:58,30.5,0.27,dwm#1,7.79,L-Connect-Service,0.32,WmiPrvSE#1,0.23
03:52:09,30.1,0.22,dwm#1,8.06,WmiPrvSE#1,0.22,WmiPrvSE,0.18
03:52:20,33.7,0.7,dwm#1,7.82,L-Connect-Service,0.75,vmmemWSL,0.28
03:52:30,27.6,0.69,dwm#1,8.21,WmiPrvSE#1,0.23,System,0.09
03:52:41,32.4,0.69,dwm#1,8.13,L-Connect-Service,0.55,WmiPrvSE#1,0.23
03:52:51,36,0.87,dwm#1,8.07,WmiPrvSE,0.27,steamwebhelper#5,0.23
03:53:02,41.9,3.79,dwm#1,7.93,L-Connect-Service,0.57,WmiPrvSE#1,0.24
03:53:12,30.9,1.19,dwm#1,8.39,WmiPrvSE#1,0.23,vmmemWSL,0.23
03:53:23,36.3,1.06,dwm#1,8,vmmemWSL,1.24,L-Connect-Service,0.37
03:53:33,32,1.18,dwm#1,8.26,WmiPrvSE#1,0.23,L-Connect-Service,0.14
03:53:44,33.3,1.03,dwm#1,8.19,WmiPrvSE#1,0.28,vmmemWSL,0.28
03:53:55,41,3.05,dwm#1,7.91,L-Connect-Service,0.6,WmiPrvSE#1,0.27
03:54:05,29.5,1.18,dwm#1,7.99,WmiPrvSE#1,0.23,vmmemWSL,0.18
03:54:16,37.1,0.99,dwm#1,7.86,L-Connect-Service,0.61,WmiPrvSE#1,0.23
03:54:26,32.9,1.09,dwm#1,7.98,vmmemWSL,0.57,WmiPrvSE#1,0.19
03:54:37,29.9,0.99,dwm#1,7.98,L-Connect-Service,0.28,WmiPrvSE#1,0.19
03:54:47,32.1,1.24,dwm#1,8.05,vmmemWSL,0.38,WmiPrvSE#1,0.23
03:54:58,32.8,1.01,dwm#1,8.18,System,0.6,WmiPrvSE#1,0.23
