utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
12:54:57,35.9,1.14,dwm#1,8.05,WmiPrvSE#1,0.39,claude,0.31
12:55:08,32.1,1.29,dwm#1,7.86,WmiPrvSE#1,0.39,System,0.15
12:55:19,32.5,1.21,dwm#1,7.84,L-Connect-Service,0.5,WmiPrvSE#1,0.35
12:55:29,33.6,1.07,dwm#1,7.98,WmiPrvSE#1,0.35,L-Connect-Service,0.27
12:55:40,33.8,1.71,dwm#1,8.02,vmmemWSL,0.38,WmiPrvSE#1,0.38
12:55:51,32.9,1.32,dwm#1,8.24,vmmemWSL,0.4,WmiPrvSE#1,0.36
12:56:02,34.7,0.99,dwm#1,8.24,L-Connect-Service,0.71,WmiPrvSE#1,0.39
12:56:12,32.1,1.14,dwm#1,7.79,WmiPrvSE#1,0.35,L-Connect-Service,0.23
12:56:23,36.6,1.05,dwm#1,7.76,vmmemWSL,1.09,WmiPrvSE#1,0.35
12:56:34,36.2,1.42,dwm#1,7.97,vmmemWSL,0.67,WmiPrvSE#1,0.39
12:56:45,36.2,2.44,dwm#1,8.03,L-Connect-Service,0.54,WmiPrvSE#1,0.38
12:56:55,56.5,5.37,dwm#1,7.97,powershell#9,1.1,Docker Desktop#4,0.45
12:57:06,39.8,2.37,dwm#1,7.97,Docker Desktop#4,0.54,System,0.38
12:57:17,77,14.78,dwm#1,7.91,WmiPrvSE#1,0.37,vmmemWSL,0.3
12:57:28,86.8,19.98,dwm#1,6.58,WmiPrvSE#1,0.39,herdr,0.14
12:57:39,30.6,0.35,dwm#1,7.88,WmiPrvSE#1,0.35,L-Connect-Service,0.23
12:57:49,31.1,0.16,dwm#1,8.05,L-Connect-Service,0.48,WmiPrvSE#1,0.36
12:58:00,28.4,0.12,dwm#1,8.02,WmiPrvSE#1,0.32,System,0.12
12:58:11,30.4,0.23,dwm#1,8.26,WmiPrvSE#1,0.35,WmiPrvSE,0.23
12:58:22,32.6,0.27,dwm#1,7.8,L-Connect-Service,0.43,WmiPrvSE#1,0.35
12:58:32,28.9,0.2,dwm#1,8,WmiPrvSE#1,0.32,vmmemWSL,0.24
12:58:43,31.7,0.24,dwm#1,8.06,vmmemWSL,0.76,WmiPrvSE#1,0.32
12:58:54,41,0.31,dwm#1,8.03,vmmemWSL,1.45,WmiPrvSE#1,0.39
12:59:04,32.6,0.12,dwm#1,8.06,L-Connect-Service,0.4,claude,0.36
12:59:15,31.1,0.32,dwm#1,8.02,WmiPrvSE#1,0.32,vmmemWSL,0.24
12:59:26,31.9,0.59,dwm#1,8.25,WmiPrvSE#1,0.35,Docker Desktop#4,0.23
12:59:36,31.1,0.4,dwm#1,8.17,L-Connect-Service,0.48,WmiPrvSE#1,0.4
12:59:47,34.2,0.66,dwm#1,8.07,WmiPrvSE#1,0.35,vmmemWSL,0.19
12:59:58,31,0.75,dwm#1,7.98,WmiPrvSE#1,0.31,vmmemWSL,0.11
13:00:09,31.8,0.82,dwm#1,8.16,L-Connect-Service,0.58,WmiPrvSE#1,0.35
13:00:19,31.5,0.63,dwm#1,8.23,L-Connect-Service,0.47,WmiPrvSE#1,0.35
13:00:30,30.2,0.88,dwm#1,8.04,WmiPrvSE#1,0.36,vmmemWSL,0.28
13:00:41,38.9,1.27,dwm#1,7.88,slack#4,0.92,WmiPrvSE,0.38
13:00:52,34.8,1.33,dwm#1,8.12,L-Connect-Service,0.53,vmmemWSL,0.38
13:01:02,34.5,1.22,dwm#1,7.84,L-Connect-Service,0.46,WmiPrvSE#1,0.34
13:01:13,38.1,1.06,dwm#1,7.83,vmmemWSL,1.14,WmiPrvSE#1,0.31
13:01:24,64.4,8.58,dwm#1,7.79,vmmemWSL,1.68,WmiPrvSE#1,0.37
13:01:35,39.8,2.23,dwm#1,8.04,vmmemWSL,0.47,L-Connect-Service,0.43
13:01:46,36.9,1.25,dwm#1,7.92,Docker Desktop#4,0.57,L-Connect-Service,0.49
13:01:56,42.8,1.07,dwm#1,7.67,WmiPrvSE#1,0.35,System,0.31
13:02:07,28.9,1.02,dwm#1,7.81,WmiPrvSE#1,0.35,herdr#2,0.07
13:02:18,33.2,1.19,dwm#1,8.02,WmiPrvSE#1,0.34,svchost#29,0.3
